epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
48,124.632,0.49157,0.61045,0.59268,0.86976,0,0.97699,0.92948,0.96846,0.84898,0.97311,0.93822,0.96967,0.83146,0.46922,0.76635,0.55951,0.88755,0,0.000594052,0.000594052,0.000594052
49,127.225,0.48353,0.60341,0.56699,0.86626,0,0.97317,0.93213,0.96349,0.84363,0.9753,0.9394,0.96949,0.8214,0.48358,0.77946,0.56041,0.88963,0,0.000583053,0.000583053,0.000583053
50,129.827,0.51192,0.67778,0.58596,0.86534,0,0.98082,0.94374,0.95918,0.85955,0.96826,0.97009,0.97266,0.82781,0.46882,0.76932,0.5522,0.8827,0,0.000572054,0.000572054,0.000572054
51,132.434,0.50633,0.63818,0.57174,0.87569,0,0.97287,0.95014,0.9576,0.84551,0.96571,0.96696,0.97316,0.815,0.49363,0.78457,0.5356,0.89809,0,0.000561055,0.000561055,0.000561055
52,135.014,0.50171,0.61805,0.57935,0.86797,0,0.97004,0.95143,0.96391,0.85499,0.97458,0.96106,0.9721,0.83415,0.46876,0.78048,0.53869,0.89699,0,0.000550056,0.000550056,0.000550056
53,137.659,0.4781,0.57845,0.53739,0.86444,0,0.98416,0.95013,0.95846,0.85042,0.97157,0.95558,0.97296,0.82705,0.48185,0.79836,0.5257,0.88473,0,0.000539057,0.000539057,0.000539057
54,140.269,0.46202,0.57316,0.53166,0.85041,0,0.97346,0.95294,0.96446,0.86971,0.9729,0.95454,0.97388,0.84526,0.44418,0.75916,0.50836,0.86802,0,0.000528058,0.000528058,0.000528058
55,142.928,0.46047,0.59799,0.53393,0.85319,0,0.97671,0.94577,0.9644,0.87141,0.9782,0.95142,0.97419,0.83961,0.45,0.73461,0.50946,0.8789,0,0.000517059,0.000517059,0.000517059
56,145.58,0.48355,0.59075,0.54717,0.86648,0,0.98183,0.93941,0.96361,0.86517,0.96762,0.96632,0.9739,0.83454,0.43471,0.75127,0.50081,0.87594,0,0.00050606,0.00050606,0.00050606
57,148.172,0.48493,0.59951,0.54458,0.86754,0,0.96992,0.94787,0.96442,0.85908,0.97885,0.96121,0.9739,0.83669,0.44597,0.763,0.51996,0.87843,0,0.000495062,0.000495062,0.000495062
58,150.83,0.49466,0.65662,0.55778,0.86306,0,0.97327,0.93048,0.96218,0.85225,0.98031,0.94799,0.97208,0.83146,0.43973,0.75471,0.51531,0.88227,0,0.000484063,0.000484063,0.000484063
59,153.619,0.46058,0.61033,0.50844,0.85299,0,0.95134,0.95685,0.96718,0.8578,0.95823,0.96391,0.97253,0.84457,0.44265,0.75029,0.5012,0.87797,0,0.000473064,0.000473064,0.000473064
60,156.386,0.47966,0.59137,0.53458,0.85888,0,0.96516,0.9497,0.96598,0.86101,0.96412,0.94875,0.96842,0.83366,0.45067,0.77336,0.49846,0.87996,0,0.000462065,0.000462065,0.000462065
61,159.032,0.45371,0.59865,0.51059,0.84613,0,0.94158,0.96495,0.96658,0.86416,0.94831,0.97209,0.9742,0.83803,0.44301,0.7288,0.50615,0.87078,0,0.000451066,0.000451066,0.000451066
62,161.704,0.46592,0.57131,0.52909,0.85446,0,0.97124,0.94065,0.95698,0.85118,0.96882,0.94821,0.97454,0.83513,0.44287,0.70207,0.49764,0.87203,0,0.000440067,0.000440067,0.000440067
63,164.384,0.47159,0.58867,0.52122,0.85837,0,0.9716,0.94041,0.95635,0.85202,0.97463,0.95311,0.97224,0.83217,0.43516,0.6854,0.47664,0.87051,0,0.000429068,0.000429068,0.000429068
64,167.046,0.46176,0.5781,0.5194,0.85543,0,0.97428,0.94384,0.96035,0.85013,0.97428,0.94384,0.96964,0.82812,0.46468,0.71391,0.50156,0.88028,0,0.000418069,0.000418069,0.000418069
65,169.7,0.45657,0.58534,0.48802,0.85675,0,0.97586,0.94214,0.96535,0.85657,0.97586,0.94214,0.96955,0.8336,0.44232,0.71791,0.48721,0.87658,0,0.00040707,0.00040707,0.00040707
66,172.364,0.47602,0.57934,0.51941,0.85937,0,0.98856,0.93773,0.96116,0.87233,0.98856,0.93773,0.97137,0.83671,0.43384,0.74724,0.47897,0.87356,0,0.000396071,0.000396071,0.000396071
67,175.107,0.46812,0.57269,0.50243,0.85247,0,0.97923,0.94929,0.95849,0.86897,0.98637,0.95638,0.9726,0.84311,0.44207,0.79474,0.46842,0.87312,0,0.000385073,0.000385073,0.000385073
68,177.81,0.45157,0.63058,0.50008,0.85317,0,0.98616,0.94676,0.96962,0.86105,0.98408,0.96016,0.97363,0.83769,0.44445,0.82496,0.46479,0.87422,0,0.000374074,0.000374074,0.000374074
69,180.508,0.44143,0.57008,0.47934,0.85573,0,0.97864,0.95504,0.96976,0.86505,0.98572,0.96219,0.97363,0.84255,0.43052,0.76378,0.47099,0.86883,0,0.000363075,0.000363075,0.000363075
70,183.18,0.44751,0.57843,0.50065,0.85257,0,0.9779,0.95731,0.96862,0.86538,0.98487,0.96443,0.9727,0.84282,0.42816,0.75913,0.46649,0.86353,0,0.000352076,0.000352076,0.000352076
71,185.848,0.45461,0.58562,0.48562,0.84689,0,0.97331,0.9582,0.96958,0.87175,0.98036,0.96527,0.9733,0.82979,0.42096,0.80744,0.45594,0.86225,0,0.000341077,0.000341077,0.000341077
72,188.536,0.43468,0.54684,0.47942,0.85024,0,0.9719,0.95936,0.96888,0.87281,0.97895,0.9665,0.97273,0.83968,0.41075,0.77306,0.45559,0.86011,0,0.000330078,0.000330078,0.000330078
73,191.287,0.44072,0.5904,0.47718,0.84135,0,0.97671,0.95924,0.96917,0.8697,0.98381,0.96631,0.97273,0.84163,0.40405,0.7521,0.45477,0.85912,0,0.000319079,0.000319079,0.000319079
74,194.03,0.41561,0.5485,0.45158,0.84464,0,0.97518,0.95519,0.9694,0.86645,0.98259,0.96229,0.97273,0.83801,0.41223,0.80029,0.44467,0.86078,0,0.00030808,0.00030808,0.00030808
